Winkelposition, Messreihe #1
Zeit ( s )	Winkelposition ( rad )
49,0000	1,263
49,0500	1,604
49,1000	1,166
49,1500	0,156
49,2000	-0,399
49,2500	0,008
49,3000	0,941
49,3500	1,547
49,4000	1,448
49,4500	0,580
49,5000	-0,283
49,5500	-0,270
49,6000	0,554
49,6500	1,376
49,7000	1,587
49,7500	1,002
49,8000	-0,009
49,8500	-0,397
49,9000	0,170
49,9500	1,098
50,0000	1,588
50,0500	1,341
50,1000	0,386
50,1500	-0,355
50,2000	-0,162
50,2500	0,735
50,3000	1,469
50,3500	1,541
50,4000	0,812
50,4500	-0,152
50,5000	-0,358
50,5500	0,339
50,6000	1,236
50,6500	1,604
50,7000	1,199
50,7500	0,195
50,8000	-0,394
50,8500	-0,022
50,9000	0,908
50,9500	1,536
51,0000	1,466
51,0500	0,617
51,1000	-0,265
51,1500	-0,289
51,2000	0,518
51,2500	1,354
51,3000	1,593
51,3500	1,038
51,4000	0,025
51,4500	-0,401
51,5000	0,137
51,5500	1,070
51,6000	1,583
51,6500	1,360
51,7000	0,418
51,7500	-0,346
51,8000	-0,184
51,8500	0,702
51,9000	1,455
51,9500	1,552
52,0000	0,850
52,0500	-0,126
52,1000	-0,369
52,1500	0,303
52,2000	1,208
52,2500	1,602
52,3000	1,233
52,3500	0,237
52,4000	-0,390
52,4500	-0,058
52,5000	0,866
52,5500	1,522
52,6000	1,488
52,6500	0,666
52,7000	-0,240
52,7500	-0,308
52,8000	0,476
52,8500	1,327
52,9000	1,598
52,9500	1,079
53,0000	0,063
53,0500	-0,402
53,1000	0,094
53,1500	1,030
53,2000	1,574
53,2500	1,390
53,3000	0,470
53,3500	-0,328
53,4000	-0,212
53,4500	0,657
53,5000	1,431
53,5500	1,565
53,6000	0,900
53,6500	-0,090
53,7000	-0,382
53,7500	0,261
53,8000	1,178
53,8500	1,599
53,9000	1,261
53,9500	0,273
54,0000	-0,383
54,0500	-0,086
54,1000	0,829
54,1500	1,510
54,2000	1,505
54,2500	0,707
54,3000	-0,218
54,3500	-0,325
54,4000	0,440
54,4500	1,304
54,5000	1,601
54,5500	1,112
54,6000	0,097
54,6500	-0,401
54,7000	0,061
54,7500	0,997
54,8000	1,563
54,8500	1,415
54,9000	0,515
54,9500	-0,311
55,0000	-0,236
55,0500	0,616
55,1000	1,409
55,1500	1,576
55,2000	0,942
55,2500	-0,057
55,3000	-0,388
55,3500	0,223
55,4000	1,147
55,4500	1,596
55,5000	1,294
55,5500	0,320
55,6000	-0,372
55,6500	-0,119
55,7000	0,785
55,7500	1,489
55,8000	1,524
55,8500	0,760
55,9000	-0,185
55,9500	-0,342
56,0000	0,393
56,0500	1,274
56,1000	1,602
56,1500	1,153
56,2000	0,140
56,2500	-0,399
56,3000	0,022
56,3500	0,955
56,4000	1,550
56,4500	1,442
56,5000	0,567
56,5500	-0,291
56,6000	-0,261
56,6500	0,573
56,7000	1,387
56,7500	1,583
56,8000	0,983
56,8500	-0,022
56,9000	-0,394
56,9500	0,184
57,0000	1,114
57,0500	1,591
57,1000	1,326
57,1500	0,368
57,2000	-0,361
57,2500	-0,149
57,3000	0,748
57,3500	1,475
57,4000	1,536
57,4500	0,800
57,5000	-0,160
57,5500	-0,355
57,6000	0,355
57,6500	1,247
57,7000	1,602
57,7500	1,188
57,8000	0,179
57,8500	-0,396
57,9000	-0,009
57,9500	0,922
58,0000	1,541
58,0500	1,461
58,1000	0,608
58,1500	-0,270
58,2000	-0,281
58,2500	0,533
58,3000	1,363
58,3500	1,590
58,4000	1,026
58,4500	0,016
58,5000	-0,401
58,5500	0,138
58,6000	1,074
58,6500	1,583
58,7000	1,359
58,7500	0,416
58,8000	-0,347
58,8500	-0,181
58,9000	0,704
58,9500	1,455
59,0000	1,552
59,0500	0,847
59,1000	-0,127
59,1500	-0,369
59,2000	0,309
59,2500	1,213
59,3000	1,602
59,3500	1,227
59,4000	0,228
59,4500	-0,391
59,5000	-0,050
59,5500	0,875
59,6000	1,524
59,6500	1,486
59,7000	0,666
59,7500	-0,240
59,8000	-0,306
59,8500	0,482
59,9000	1,332
59,9500	1,598
60,0000	1,073
60,0500	0,060
60,1000	-0,402
60,1500	0,093
60,2000	1,032
60,2500	1,572
60,3000	1,392
60,3500	0,476
60,4000	-0,328
60,4500	-0,215
60,5000	0,650
60,5500	1,426
60,6000	1,566
60,6500	0,906
60,7000	-0,082
60,7500	-0,383
60,8000	0,251
60,8500	1,169
60,9000	1,598
60,9500	1,275
61,0000	0,292
61,0500	-0,380
61,1000	-0,099
61,1500	0,815
61,2000	1,502
61,2500	1,513
61,3000	0,732
61,3500	-0,203
61,4000	-0,333
61,4500	0,419
61,5000	1,291
61,5500	1,602
61,6000	1,131
61,6500	0,119
61,7000	-0,401
61,7500	0,036
61,8000	0,975
61,8500	1,558
61,9000	1,428
61,9500	0,540
62,0000	-0,302
62,0500	-0,250
62,1000	0,591
62,1500	1,395
62,2000	1,580
62,2500	0,969
62,3000	-0,035
62,3500	-0,393
62,4000	0,198
62,4500	1,125
62,5000	1,593
62,5500	1,315
62,6000	0,349
62,6500	-0,366
62,7000	-0,137
62,7500	0,765
62,8000	1,480
62,8500	1,532
62,9000	0,789
62,9500	-0,170
63,0000	-0,350
63,0500	0,372
63,1000	1,261
63,1500	1,602
63,2000	1,169
63,2500	0,162
63,3000	-0,397
63,3500	0,000
63,4000	0,935
63,4500	1,544
63,5000	1,453
63,5500	0,592
63,6000	-0,278
63,6500	-0,275
63,7000	0,547
63,7500	1,371
63,8000	1,587
63,8500	1,008
63,9000	-0,002
63,9500	-0,399
64,0000	0,159
64,0500	1,090
64,1000	1,587
64,1500	1,346
64,2000	0,397
64,2500	-0,352
64,3000	-0,170
64,3500	0,719
64,4000	1,461
64,4500	1,547
64,5000	0,834
64,5500	-0,138
64,6000	-0,363
64,6500	0,327
64,7000	1,225
64,7500	1,602
64,8000	1,213
64,8500	0,212
64,9000	-0,393
64,9500	-0,039
65,0000	0,892
65,0500	1,530
65,1000	1,477
65,1500	0,644
65,2000	-0,251
65,2500	-0,298
65,3000	0,495
65,3500	1,338
65,4000	1,596
65,4500	1,063
65,5000	0,050
65,5500	-0,402
65,6000	0,108
65,6500	1,045
65,7000	1,576
65,7500	1,382
65,8000	0,456
65,8500	-0,335
65,9000	-0,203
65,9500	0,668
66,0000	1,436
66,0500	1,561
66,1000	0,889
66,1500	-0,097
66,2000	-0,379
66,2500	0,275
66,3000	1,186
66,3500	1,599
66,4000	1,255
66,4500	0,267
66,5000	-0,383
66,5500	-0,085
66,6000	0,837
66,6500	1,510
66,7000	1,503
66,7500	0,707
66,8000	-0,217
66,8500	-0,324
66,9000	0,440
66,9500	1,304
67,0000	1,601
67,0500	1,112
67,1000	0,099
67,1500	-0,402
67,2000	0,061
67,2500	0,997
67,3000	1,563
67,3500	1,415
67,4000	0,514
67,4500	-0,313
67,5000	-0,236
67,5500	0,614
67,6000	1,407
67,6500	1,576
67,7000	0,944
67,7500	-0,055
67,8000	-0,388
67,8500	0,223
67,9000	1,145
67,9500	1,594
68,0000	1,297
68,0500	0,327
68,1000	-0,371
68,1500	-0,124
68,2000	0,784
68,2500	1,488
68,3000	1,525
68,3500	0,767
68,4000	-0,182
68,4500	-0,346
68,5000	0,385
68,5500	1,266
68,6000	1,602
68,6500	1,162
68,7000	0,154
68,7500	-0,399
68,8000	0,014
68,8500	0,949
68,9000	1,549
68,9500	1,444
69,0000	0,570
69,0500	-0,287
69,1000	-0,265
69,1500	0,564
69,2000	1,381
69,2500	1,585
69,3000	0,994
69,3500	-0,014
69,4000	-0,396
69,4500	0,179
69,5000	1,106
69,5500	1,588
69,6000	1,332
69,6500	0,375
69,7000	-0,358
69,7500	-0,156
69,8000	0,745
69,8500	1,470
69,9000	1,539
69,9500	0,809
70,0000	-0,154
70,0500	-0,358
70,1000	0,346
70,1500	1,236
70,2000	1,602
70,2500	1,199
70,3000	0,196
70,3500	-0,394
70,4000	-0,024
70,4500	0,906
70,5000	1,535
70,5500	1,469
70,6000	0,627
70,6500	-0,261
70,7000	-0,291
70,7500	0,514
70,8000	1,351
70,8500	1,593
70,9000	1,045
70,9500	0,031
71,0000	-0,401
71,0500	0,127
71,1000	1,060
71,1500	1,579
71,2000	1,371
71,2500	0,440
71,3000	-0,339
71,3500	-0,195
71,4000	0,686
71,4500	1,444
71,5000	1,557
71,5500	0,870
71,6000	-0,113
71,6500	-0,374
71,7000	0,287
71,7500	1,194
71,8000	1,599
71,8500	1,247
71,9000	0,254
71,9500	-0,386
72,0000	-0,069
72,0500	0,855
72,1000	1,517
72,1500	1,494
72,2000	0,682
72,2500	-0,232
72,3000	-0,314
72,3500	0,462
72,4000	1,318
72,4500	1,599
72,5000	1,095
