Temperatur, Messreihe #1
Zeit ( s )	Temperatur ( °C )
0,4000	-1,4
0,5000	-1,4
0,6000	-1,4
0,7000	-1,4
0,8000	-1,4
0,9000	-1,4
1,0000	-1,4
1,1000	-1,4
1,2000	-1,5
1,3000	-1,5
1,4000	-1,5
1,5000	-1,5
1,6000	-1,5
1,7000	-1,5
1,8000	-1,5
1,9000	-1,5
2,0000	-1,6
2,1000	-1,6
2,2000	-1,6
2,3000	-1,6
2,4000	-1,6
2,5000	-1,6
2,6000	-1,6
2,7000	-1,6
2,8000	-1,7
2,9000	-1,7
3,0000	-1,7
3,1000	-1,7
3,2000	-1,7
3,3000	-1,7
3,4000	-1,7
3,5000	-1,7
3,6000	-1,8
3,7000	-1,8
3,8000	-1,8
3,9000	-1,8
4,0000	-1,8
4,1000	-1,8
4,2000	-1,8
4,3000	-1,8
4,4000	-1,9
4,5000	-1,9
4,6000	-1,9
4,7000	-1,9
4,8000	-1,9
4,9000	-1,9
5,0000	-1,9
5,1000	-1,9
5,2000	-1,9
5,3000	-2,0
5,4000	-2,0
5,5000	-2,0
5,6000	-2,0
5,7000	-2,0
5,8000	-2,0
5,9000	-2,0
6,0000	-2,0
6,1000	-2,1
6,2000	-2,1
6,3000	-2,1
6,4000	-2,1
6,5000	-2,1
6,6000	-2,1
6,7000	-2,1
6,8000	-2,1
6,9000	-2,1
7,0000	-2,2
7,1000	-2,2
7,2000	-2,2
7,3000	-2,2
7,4000	-2,2
7,5000	-2,2
7,6000	-2,2
7,7000	-2,2
7,8000	-2,3
7,9000	-2,3
8,0000	-2,3
8,1000	-2,3
8,2000	-2,3
8,3000	-2,3
8,4000	-2,3
8,5000	-2,3
8,6000	-2,3
8,7000	-2,4
8,8000	-2,4
8,9000	-2,4
9,0000	-2,4
9,1000	-2,4
9,2000	-2,4
9,3000	-2,4
9,4000	-2,4
9,5000	-2,5
9,6000	-2,5
9,7000	-2,5
9,8000	-2,5
9,9000	-2,5
10,0000	-2,5
10,1000	-2,5
10,2000	-2,5
10,3000	-2,5
10,4000	-2,6
10,5000	-2,6
10,6000	-2,6
10,7000	-2,6
10,8000	-2,6
10,9000	-2,6
11,0000	-2,6
11,1000	-2,6
11,2000	-2,7
11,3000	-2,7
11,4000	-2,7
11,5000	-2,7
11,6000	-2,7
11,7000	-2,7
11,8000	-2,7
11,9000	-2,7
12,0000	-2,8
12,1000	-2,8
12,2000	-2,8
12,3000	-2,8
12,4000	-2,8
12,5000	-2,8
12,6000	-2,8
12,7000	-2,8
12,8000	-2,8
12,9000	-2,9
13,0000	-2,9
13,1000	-2,9
13,2000	-2,9
13,3000	-2,9
13,4000	-2,9
13,5000	-2,9
13,6000	-2,9
13,7000	-2,9
13,8000	-3,0
13,9000	-3,0
14,0000	-3,0
14,1000	-3,0
14,2000	-3,0
14,3000	-3,0
14,4000	-3,0
14,5000	-3,0
14,6000	-3,1
14,7000	-3,1
14,8000	-3,1
14,9000	-3,1
15,0000	-3,1
15,1000	-3,1
15,2000	-3,1
15,3000	-3,1
15,4000	-3,1
15,5000	-3,2
15,6000	-3,2
15,7000	-3,2
15,8000	-3,2
15,9000	-3,2
16,0000	-3,2
16,1000	-3,2
16,2000	-3,2
16,3000	-3,2
16,4000	-3,3
16,5000	-3,3
16,6000	-3,3
16,7000	-3,3
16,8000	-3,3
16,9000	-3,3
17,0000	-3,3
17,1000	-3,3
17,2000	-3,4
17,3000	-3,4
17,4000	-3,4
17,5000	-3,4
17,6000	-3,4
17,7000	-3,4
17,8000	-3,4
17,9000	-3,4
18,0000	-3,4
18,1000	-3,5
18,2000	-3,5
18,3000	-3,5
18,4000	-3,5
18,5000	-3,5
18,6000	-3,5
18,7000	-3,5
18,8000	-3,5
18,9000	-3,6
19,0000	-3,6
19,1000	-3,6
19,2000	-3,6
19,3000	-3,6
19,4000	-3,6
19,5000	-3,6
19,6000	-3,6
19,7000	-3,6
19,8000	-3,7
19,9000	-3,7
20,0000	-3,7
20,1000	-3,7
20,2000	-3,7
20,3000	-3,7
20,4000	-3,7
20,5000	-3,7
20,6000	-3,8
20,7000	-3,8
20,8000	-3,8
20,9000	-3,8
21,0000	-3,8
21,1000	-3,8
21,2000	-3,8
21,3000	-3,8
21,4000	-3,8
21,5000	-3,9
21,6000	-3,9
21,7000	-3,9
21,8000	-3,9
21,9000	-3,9
22,0000	-3,9
22,1000	-3,9
22,2000	-3,9
22,3000	-3,9
22,4000	-4,0
22,5000	-4,0
22,6000	-4,0
22,7000	-4,0
22,8000	-4,0
22,9000	-4,0
23,0000	-4,0
23,1000	-4,0
23,2000	-4,0
23,3000	-4,1
23,4000	-4,1
23,5000	-4,1
23,6000	-4,1
23,7000	-4,1
23,8000	-4,1
23,9000	-4,1
24,0000	-4,1
24,1000	-4,1
24,2000	-4,2
24,3000	-4,2
24,4000	-4,2
24,5000	-4,2
24,6000	-4,2
24,7000	-4,2
24,8000	-4,2
24,9000	-4,2
25,0000	-4,2
25,1000	-4,2
25,2000	-4,3
25,3000	-4,3
25,4000	-4,3
25,5000	-4,3
25,6000	-4,2
25,7000	-4,1
25,8000	-3,9
25,9000	-3,6
26,0000	-3,4
26,1000	-3,2
26,2000	-3,0
26,3000	-2,8
26,4000	-2,6
26,5000	-2,4
26,6000	-2,3
26,7000	-2,1
26,8000	-2,0
26,9000	-1,8
